ID,Verde,NIR
Pina_26meses(SC),0.028,0.436
Pina_26meses(SC),0.025,0.397
Pina_26meses(SC),0.033,0.487
Pina_26meses(SC),0.044,0.439
Pina_26meses(SC),0.035,0.38
Pina_26meses(SC),0.032,0.361
Pina_26meses(SC),0.03,0.424
Pina_26meses(SC),0.035,0.378
Pina_26meses(SC),0.033,0.512
Pina_26meses(SC),0.04,0.432
Pina_26meses(SC),0.036,0.508
Pina_26meses(SC),0.052,0.458
Pina_26meses(SC),0.033,0.445
Pina_26meses(SC),0.032,0.459
Pina_26meses(SC),0.029,0.439
Pina_26meses(SC),0.025,0.365
Pina_26meses(SC),0.03,0.479
Pina_26meses(SC),0.032,0.39
Pina_26meses(SC),0.031,0.377
Pina_26meses(SC),0.031,0.458
Pina_26meses(SC),0.029,0.437
Pina_26meses(SC),0.026,0.398
Pina_26meses(SC),0.034,0.488
Pina_26meses(SC),0.045,0.44
Pina_26meses(SC),0.036,0.381
Pina_26meses(SC),0.033,0.362
Pina_26meses(SC),0.031,0.425
Pina_26meses(SC),0.036,0.378
Pina_26meses(SC),0.034,0.513
Pina_26meses(SC),0.042,0.432
Pina_26meses(SC),0.037,0.509
Pina_26meses(SC),0.053,0.458
Pina_26meses(SC),0.034,0.445
Pina_26meses(SC),0.033,0.46
Pina_26meses(SC),0.03,0.44
Pina_26meses(SC),0.026,0.366
Pina_26meses(SC),0.032,0.48
Pina_26meses(SC),0.033,0.391
Pina_26meses(SC),0.032,0.378
Pina_26meses(SC),0.032,0.458
Pina_26meses(SC),0.03,0.438
Pina_26meses(SC),0.027,0.399
Pina_26meses(SC),0.036,0.489
Pina_26meses(SC),0.046,0.44
Pina_26meses(SC),0.037,0.381
Pina_26meses(SC),0.034,0.363
Pina_26meses(SC),0.032,0.426
Pina_26meses(SC),0.037,0.379
Pina_26meses(SC),0.035,0.514
Pina_26meses(SC),0.043,0.433
Pina_26meses(SC),0.039,0.51
Pina_26meses(SC),0.055,0.459
Pina_26meses(SC),0.035,0.446
Pina_26meses(SC),0.034,0.461
Pina_26meses(SC),0.031,0.441
Pina_26meses(SC),0.027,0.367
Pina_26meses(SC),0.033,0.481
Pina_26meses(SC),0.034,0.392
Pina_26meses(SC),0.033,0.379
Pina_26meses(SC),0.033,0.459
Pina_26meses(SC),0.031,0.439
Pina_26meses(SC),0.028,0.4
Pina_26meses(SC),0.037,0.49
Pina_26meses(SC),0.047,0.441
Pina_26meses(SC),0.039,0.382
Pina_26meses(SC),0.034,0.363
Pina_26meses(SC),0.033,0.427
Pina_26meses(SC),0.038,0.38
Pina_26meses(SC),0.037,0.515
Pina_26meses(SC),0.044,0.434
Pina_26meses(SC),0.04,0.511
Pina_26meses(SC),0.056,0.459
Pina_26meses(SC),0.037,0.447
Pina_26meses(SC),0.035,0.462
Pina_26meses(SC),0.032,0.442
Pina_26meses(SC),0.027,0.368
Pina_26meses(SC),0.034,0.482
Pina_26meses(SC),0.035,0.392
Pina_26meses(SC),0.034,0.38
Pina_26meses(SC),0.034,0.46
Pina_26meses(SC),0.032,0.44
Pina_26meses(SC),0.028,0.401
Pina_26meses(SC),0.038,0.491
Pina_26meses(SC),0.048,0.442
Pina_26meses(SC),0.04,0.383
Pina_26meses(SC),0.035,0.364
Pina_26meses(SC),0.034,0.427
Pina_26meses(SC),0.039,0.381
Pina_26meses(SC),0.038,0.516
Pina_26meses(SC),0.045,0.435
Pina_26meses(SC),0.041,0.512
Pina_26meses(SC),0.058,0.46
Pina_26meses(SC),0.038,0.448
Pina_26meses(SC),0.036,0.463
Pina_26meses(SC),0.033,0.443
Pina_26meses(SC),0.028,0.368
Pina_26meses(SC),0.035,0.483
Pina_26meses(SC),0.036,0.393
Pina_26meses(SC),0.034,0.38
Pina_26meses(SC),0.035,0.461
Pina_26meses(SC),0.033,0.441
Pina_26meses(SC),0.029,0.402
Pina_26meses(SC),0.039,0.491
Pina_26meses(SC),0.049,0.443
Pina_26meses(SC),0.041,0.383
Pina_26meses(SC),0.036,0.365
Pina_26meses(SC),0.035,0.428
Pina_26meses(SC),0.04,0.381
Pina_26meses(SC),0.039,0.517
Pina_26meses(SC),0.046,0.436
Pina_26meses(SC),0.043,0.513
Pina_26meses(SC),0.059,0.46
Pina_26meses(SC),0.039,0.449
Pina_26meses(SC),0.037,0.464
Pina_26meses(SC),0.034,0.444
Pina_26meses(SC),0.029,0.369
Pina_26meses(SC),0.036,0.484
Pina_26meses(SC),0.037,0.394
Pina_26meses(SC),0.035,0.381
Pina_26meses(SC),0.036,0.462
Pina_26meses(SC),0.034,0.442
Pina_26meses(SC),0.03,0.402
Pina_26meses(SC),0.041,0.492
Pina_26meses(SC),0.05,0.443
Pina_26meses(SC),0.042,0.384
Pina_26meses(SC),0.037,0.365
Pina_26meses(SC),0.036,0.429
Pina_26meses(SC),0.041,0.382
Pina_26meses(SC),0.04,0.518
Pina_26meses(SC),0.047,0.436
Pina_26meses(SC),0.044,0.514
Pina_26meses(SC),0.061,0.461
Pina_26meses(SC),0.039,0.449
Pina_26meses(SC),0.038,0.464
Pina_26meses(SC),0.035,0.445
Pina_26meses(SC),0.03,0.37
Pina_26meses(SC),0.037,0.484
Pina_26meses(SC),0.038,0.395
Pina_26meses(SC),0.036,0.382
Pina_26meses(SC),0.037,0.463
Pina_26meses(SC),0.035,0.443
Pina_26meses(SC),0.031,0.403
Pina_26meses(SC),0.042,0.493
Pina_26meses(SC),0.051,0.444
Pina_26meses(SC),0.043,0.384
Pina_26meses(SC),0.037,0.366
Pina_26meses(SC),0.037,0.429
Pina_26meses(SC),0.042,0.382
Pina_26meses(SC),0.041,0.519
Pina_26meses(SC),0.048,0.437
Pina_26meses(SC),0.045,0.515
Pina_26meses(SC),0.062,0.461
Pina_26meses(SC),0.04,0.45
Pina_26meses(SC),0.039,0.465
Pina_26meses(SC),0.036,0.445
Pina_26meses(SC),0.03,0.37
Pina_26meses(SC),0.038,0.485
Pina_26meses(SC),0.039,0.395
Pina_26meses(SC),0.037,0.383
Pina_26meses(SC),0.037,0.463
Pina_26meses(SC),0.036,0.443
Pina_26meses(SC),0.032,0.403
Pina_26meses(SC),0.043,0.493
Pina_26meses(SC),0.052,0.445
Pina_26meses(SC),0.045,0.385
Pina_26meses(SC),0.038,0.366
Pina_26meses(SC),0.038,0.43
Pina_26meses(SC),0.043,0.383
Pina_26meses(SC),0.042,0.52
Pina_26meses(SC),0.049,0.438
Pina_26meses(SC),0.046,0.516
Pina_26meses(SC),0.064,0.462
Pina_26meses(SC),0.041,0.451
Pina_26meses(SC),0.04,0.466
Pina_26meses(SC),0.036,0.446
Pina_26meses(SC),0.031,0.371
Pina_26meses(SC),0.039,0.485
Pina_26meses(SC),0.04,0.396
Pina_26meses(SC),0.038,0.384
Pina_26meses(SC),0.038,0.464
Pina_26meses(SC),0.037,0.444
Pina_26meses(SC),0.032,0.404
Pina_26meses(SC),0.044,0.494
Pina_26meses(SC),0.053,0.445
Pina_26meses(SC),0.046,0.385
Pina_26meses(SC),0.039,0.367
Pina_26meses(SC),0.038,0.43
Pina_26meses(SC),0.044,0.383
Pina_26meses(SC),0.043,0.52
Pina_26meses(SC),0.05,0.439
Pina_26meses(SC),0.047,0.517
Pina_26meses(SC),0.065,0.462
Pina_26meses(SC),0.042,0.452
Pina_26meses(SC),0.04,0.466
Pina_26meses(SC),0.037,0.446
Pina_26meses(SC),0.032,0.371
Pina_26meses(SC),0.039,0.486
Pina_26meses(SC),0.041,0.396
Pina_26meses(SC),0.038,0.384
Pina_26meses(SC),0.039,0.465
Pina_26meses(SC),0.038,0.444
Pina_26meses(SC),0.033,0.404
Pina_26meses(SC),0.045,0.494
Pina_26meses(SC),0.054,0.445
Pina_26meses(SC),0.047,0.386
Pina_26meses(SC),0.039,0.367
Pina_26meses(SC),0.039,0.43
Pina_26meses(SC),0.045,0.383
Pina_26meses(SC),0.044,0.521
Pina_26meses(SC),0.051,0.44
Pina_26meses(SC),0.048,0.518
Pina_26meses(SC),0.066,0.463
Pina_26meses(SC),0.043,0.452
Pina_26meses(SC),0.041,0.467
Pina_26meses(SC),0.038,0.447
Pina_26meses(SC),0.032,0.371
Pina_26meses(SC),0.04,0.486
Pina_26meses(SC),0.042,0.396
Pina_26meses(SC),0.039,0.385
Pina_26meses(SC),0.04,0.465
Pina_26meses(SC),0.039,0.445
Pina_26meses(SC),0.034,0.404
Pina_26meses(SC),0.046,0.494
Pina_26meses(SC),0.055,0.445
Pina_26meses(SC),0.047,0.386
Pina_26meses(SC),0.04,0.367
Pina_26meses(SC),0.04,0.431
Pina_26meses(SC),0.046,0.383
Pina_26meses(SC),0.045,0.521
Pina_26meses(SC),0.052,0.44
Pina_26meses(SC),0.049,0.519
Pina_26meses(SC),0.067,0.463
Pina_26meses(SC),0.044,0.453
Pina_26meses(SC),0.042,0.468
Pina_26meses(SC),0.039,0.447
Pina_26meses(SC),0.033,0.372
Pina_26meses(SC),0.041,0.486
Pina_26meses(SC),0.043,0.396
Pina_26meses(SC),0.039,0.386
Pina_26meses(SC),0.04,0.466
Pina_26meses(SC),0.039,0.445
Pina_26meses(SC),0.034,0.405
Pina_26meses(SC),0.047,0.494
Pina_26meses(SC),0.056,0.445
Pina_26meses(SC),0.048,0.386
Pina_26meses(SC),0.041,0.368
Pina_26meses(SC),0.041,0.431
Pina_26meses(SC),0.046,0.384
Pina_26meses(SC),0.046,0.521
Pina_26meses(SC),0.053,0.441
Pina_26meses(SC),0.05,0.52
Pina_26meses(SC),0.068,0.463
Pina_26meses(SC),0.044,0.453
Pina_26meses(SC),0.042,0.468
Pina_26meses(SC),0.039,0.448
Pina_26meses(SC),0.033,0.372
Pina_26meses(SC),0.041,0.486
Pina_26meses(SC),0.043,0.397
Pina_26meses(SC),0.04,0.387
Pina_26meses(SC),0.041,0.467
Pina_26meses(SC),0.04,0.446
Pina_26meses(SC),0.035,0.405
Pina_26meses(SC),0.048,0.494
Pina_26meses(SC),0.056,0.446
